ID,Condition,t HM,t GI,t DW,t DW opposite,t HW no help,HW nS,DW nS,DW opposite nS,GI nS,HW grade,HW grade no help,GI grade,n Generations,DW grade in,DW grade out,DW grade out opposite,Age,Gender,Education Level,Profession,Field of Study,On a scale form 1 to 10 how familar are you with robotics systems?,On a scale form 1 to 10 how familar are you with AI systems?,On a scale form 1 to 10 how confortable are you with solving quadratic equations?,On a scale form 1 to 10 how confortable are you with generating images with AI?,On a scale form 1 to 10 how confortable are you in drawing?
1,Ex,03:31,10:00,04:50,01:20,06:00,2,0,48,0,4.3,6.8,9.2,6,3.1,7.8,4.1,36 - 45,Male,PhD,Professor,Engineering,10,8,8,10,3
2,Ex,05:14,00:35,02:13,06:48,00:05,4,0,139,0,9,8.8,9.6,1,3.2,7,7.7,19 - 25,Male,University Bachelor,Bachelor Student,Engineering,8,8,10,9,6
3,Ex,02:10,03:00,06:13,01:29,01:00,4,0,39,0,4.2,9.6,8.6,2,2.9,6.6,3.8,< 18,Male,Other,Student,School,9,5,10,3,9
4,Ex,04:10,01:20,05:20,30:16:00,04:00,4,0,370,0,9.6,9.6,9.7,1,3,6.7,6,< 18,Female,Other,Student,School,10,7,1,4,9
5,Ex,03:21,01:43,09:14,03:59,02:30,4,0,86,0,9.15,9.6,10,2,5.4,9.1,7.7,19 - 25,Male,University Bachelor,Researcher,Engineering,10,10,8,7,4
6,Ex,16:05,00:30,09:40,02:25,00:33,8,0,60,0,1,0.9,10,1,5.5,8.6,6.9,< 18,Female,University Bachelor,Bachelor Student,law,2,5,1,2,8
7,Ex,08:43,07:39,05:20,02:50,05:20,2,0,96,0,2,0.7,9.7,4,4.9,7.3,6,26 - 35,Female,Masters,Industry,Environmental Science,2,4,1,3,8
8,Ex,04:28,03:09,07:17,05:41,02:38,0,0,100,0,6.4,8.7,10,2,5.5,8.7,6.7,26 - 35,Female,Masters,Project Management,Engineering,3,5,8,7,1
9,Ex,03:53,01:15,12:00,02:40,04:30,6,0,27,0,9.6,9.5,10,1,4.8,7.5,2,26 - 35,Male,PhD,Researcher,Engineering,10,10,10,5,4
10,Ex,05:02,00:39,03:52,02:00,04:40,10,0,41,0,8.9,8.3,9.6,1,5.2,8.5,5.7,19 - 25,Female,University Bachelor,Industry,Tech,10,10,7,10,3
11,Ex,04:16,01:45,07:00,04:12,02:17,6,0,133,0,9.7,7,9.8,2,4.9,8.5,7,19 - 25,Male,High School,Bachelor Student,Computer science & Ai,7,7,9,7,7
12,Ex,07:00,00:52,09:09,01:15,01:20,4,0,54,0,4.4,4.4,9.9,1,5.1,8.5,6.8,36 - 45,Male,Masters,Program Management (Operations),Media and Communication,3,6,1,3,5
13,Ex,02:00,04:09,11:26,09:44,00:00,2,0,190,0,0,0,8,2,4.4,8.4,6.9,36 - 45,Female,University Bachelor,Program assistant,Media and Communication,3,6,1,10,4
14,Ex,03:57,01:15,11:50,02:21,02:57,5,0,22,0,9.9,10,10,1,5.2,8.4,4.9,19 - 25,Female,University Bachelor,Industry,Political Science,2,4,7,1,9
15,Ex,04:28,00:32,01:23,01:33,02:00,4,0,10,0,9.7,9.7,8.7,1,5.1,7.4,5.5,19 - 25,Male,University Bachelor,Industry,Engineering,9,8,9,1,1
16,Ex,04:32,03:21,05:09,07:06,03:00,0,0,254,0,9.6,9.9,9.8,3,5.2,8.3,7.9,19 - 25,Male,University Bachelor,Researcher,Engineering,9,9,5,10,10
